team,export_nick,export_name,juego_nick,juego_full,hex,stat_dist,score,changed,ok
inazuma-japan,Mark,Mark Evans,Mark,Mark Evans,0x1,0,-50,False,True
inazuma-japan,Darren,Darren LaChance,LaChance,Darren LaChance,0x94D,0,-50,True,True
inazuma-japan,Jack,Jack Wallside,Jack,Jack Wallside,0x3,0,-50,False,True
inazuma-japan,Banyan,Scott Banyan,Banyan,Scott Banyan,0x930,0,-50,False,True
inazuma-japan,Hawkins,Archer Hawkins,Hawkins,Archer Hawkins,0xBBA,0,-50,False,True
inazuma-japan,Tod,Tod Ironside,Tod,Tod Ironside,0x5,0,-50,False,True
inazuma-japan,Nathan,Nathan Swift,Nathan,Nathan Swift,0x2,0,-50,False,True
inazuma-japan,Kane,Hurley Kane,Kane,Hurley Kane,0x964,0,-50,False,True
inazuma-japan,St’berg,Thor Stoutberg,St’berg,Thor Stoutberg,0x9A8,0,-50,False,True
inazuma-japan,Jordan,Jordan Greenway,Jordan,Jordan Greenway,0xBBE,0,-50,False,True
inazuma-japan,Stonew’l,Caleb Stonewall,Stonew’l,Caleb Stonewall,0xBBD,0,-50,False,True
inazuma-japan,Jude,Jude Sharp,Jude,Jude Sharp,0x1E,0,-50,False,True
inazuma-japan,Samford,David Samford,Samford,David Samford,0x1F,0,-50,False,True
inazuma-japan,Froste,Shawn Froste,Froste,Shawn Froste,0x922,0,-50,False,True
inazuma-japan,Xavier,Xavier Foster,Xavier,Xavier Foster,0xBBC,0,-50,False,True
inazuma-japan,Kevin,Kevin Dragonfly,Kevin,Kevin Dragonfly,0xB,0,-50,False,True
inazuma-japan,Hobbes,Austin Hobbes,Hobbes,Austin Hobbes,0xBB9,0,-50,False,True
inazuma-japan,Axel,Axel Blaze,Axel,Axel Blaze,0xA,0,-50,False,True
big-waves,Jinbei,Jinbei,Whale,Gene Whalon,0xBCD,0,0,True,True
big-waves,Seahorse,Seahorse,C-Horse,Quincy Horace,0xBD8,0,0,True,True
big-waves,Barracuda,Barracuda,Barracu.,Barack Daniels,0xBDB,0,-15,True,True
big-waves,Beach,Beach,Beaches,Sonny Shore,0xBCF,0,-15,True,True
big-waves,Water,Water,Water,David Waterman,0xBCE,0,-50,False,True
big-waves,Turtle,Turtle,Turtle,Kjell Snapper,0xBD0,0,-50,False,True
big-waves,Kraken,Kraken,Kraken,Ken Crackham,0xBD1,0,-50,False,True
big-waves,Dolphin,Dolphin,Dolphin,Dolph Hensen,0xBD5,0,-50,False,True
big-waves,Shrimp,Shrimp,Prawn,Shawn Princeton,0xBD2,0,0,True,True
big-waves,Crab,Crab,K-Rab,Derek Rabson,0xBDA,0,0,True,True
big-waves,Surfing,Surfing,Hang-Ten,Hank Tennyson,0xBD4,0,0,True,True
big-waves,Angler,Angler,Fisher,Matt Fischer,0xBD3,0,0,True,True
big-waves,Summer,Summer,Summers,Holly Summers,0xBD9,0,-15,True,True
big-waves,Reef,Reef,Reef,Hamilton Reith,0xBD6,0,-50,False,True
big-waves,Jaws,Jaws,Jaws,Joe Dawes,0xBD7,0,-50,False,True
big-waves,Merlin,Merlin,Marlin,Bruce Marlin,0xBDC,0,0,True,True
desert-lion,Nasser,Nasser,Mustafa,Nasir Mustafa,0xBE1,0,0,True,True
desert-lion,Talal,Talal,Hamad,Talal Hamad,0xBEC,0,-30,True,True
desert-lion,Bjorn,Bjorn,Kalil,Bilal Kalil,0xBE3,0,0,True,True
desert-lion,Jamel,Jamel,Wali,Jamila Wali,0xBE4,0,0,True,True
desert-lion,Fual,Fual,Farooq,Faraz Farooq,0xBE2,0,0,True,True
desert-lion,Musa,Musa,Sylla,Musa Sylla,0xBE5,0,-30,True,True
desert-lion,Hassan,Hassan,Ahmed,Hasan Ahmed,0xBED,0,0,True,True
desert-lion,Khalfan,Khalfan,Jibril,Khalfan Jibril,0xBEE,0,-30,True,True
desert-lion,Seid,Seid,Armand,Sayid Armand,0xBE8,0,0,True,True
desert-lion,Sly,Sly,Sulaiman,Sulayk Sulaiman,0xBE7,0,0,True,True
desert-lion,Messa,Messa,Jasim,Mansur Jasim,0xBE9,0,0,True,True
